id,session_id,conversation_metadata.total_messages,conversation_metadata.completion_reason,conversation_metadata.conversation_duration_seconds,total_messages,last_updated,created_at,updated_at
55,sess_9367e183,4,in_progress,,4,2025-10-09T00:43:19.796Z,2025-10-09T00:43:19.796Z,2025-10-09T00:43:19.796Z
56,sess_95076231,8,in_progress,,8,2025-09-01T23:39:02.560Z,2025-09-01T23:39:02.560Z,2025-09-01T23:39:02.560Z
57,sess_954d4b57,2,in_progress,,2,2025-08-29T06:29:36.164Z,2025-08-29T06:29:36.164Z,2025-08-29T06:29:36.164Z
58,sess_9883c055,16,in_progress,,16,2025-08-28T01:14:26.147Z,2025-08-28T01:14:26.147Z,2025-08-28T01:14:26.147Z
59,sess_988f8289,4,in_progress,,4,2025-09-22T05:24:02.288Z,2025-09-22T05:24:02.288Z,2025-09-22T05:24:02.288Z
60,sess_9a2ac54e,2,in_progress,,2,2025-09-15T05:00:01.175Z,2025-09-15T05:00:01.175Z,2025-09-15T05:00:01.175Z
61,sess_9dc06f51,4,in_progress,,4,2025-09-11T01:06:18.202Z,2025-09-11T01:06:18.202Z,2025-09-11T01:06:18.202Z
62,sess_a321244f,6,in_progress,,6,2025-09-02T05:50:19.720Z,2025-09-02T05:50:19.720Z,2025-09-02T05:50:19.720Z
63,sess_a3f4ce8c,4,in_progress,,4,2025-09-02T00:08:18.842Z,2025-09-02T00:08:18.842Z,2025-09-02T00:08:18.842Z
64,sess_acc87129,2,in_progress,,2,2025-09-16T01:29:19.751Z,2025-09-16T01:29:19.751Z,2025-09-16T01:29:19.751Z
65,sess_af873b15,28,in_progress,,28,2025-09-04T23:11:13.924Z,2025-09-04T23:11:13.924Z,2025-09-04T23:11:13.924Z
66,sess_b1c520a2,2,in_progress,,2,2025-09-02T05:48:22.681Z,2025-09-02T05:48:22.681Z,2025-09-02T05:48:22.681Z
67,sess_b2da9838,4,in_progress,,4,2025-09-17T00:46:40.003Z,2025-09-17T00:46:40.003Z,2025-09-17T00:46:40.003Z
68,sess_b77f9c1d,2,in_progress,,2,2025-09-17T00:46:35.746Z,2025-09-17T00:46:35.746Z,2025-09-17T00:46:35.746Z
